,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,
CODIGO ACT.,ACTIVIDAD,JUL,AGO,SEP,OCT,NOV,DIC,ENE,FEB,MAR,ABR,MAY,JUN,PROM,PROM_ATIP,R2,REGR DIA,PROM DIA,MIN DIA,MAX DIA,CV,SUAV_EXP,MOD,%,% ACUM,ABC,GRAFICA
702209,JELCO 18G X 1-1/4 ,366,457,365,327,394,452,439,420,454,367,428,383,405,0,"0,04",14,14,11,16,"0,1020",14,PROM,"0,2%","80,7%",B,
A0000039,AMLODIPINO 10 MG TABLETA ,405,411,436,432,471,420,429,454,346,316,441,289,405,0,"0,27",12,14,10,16,"0,1342",14,PROM,"0,2%","80,9%",B,
M001701,MAGNESIO SULFATO SOLUCIÓN INYECTABLE 20%/10ML,277,376,405,258,380,334,586,391,581,317,351,413,390,0,"0,10",15,13,13,20,"0,2522",13,SUAV,"0,2%","81,2%",B,
F014011,FOLICO ÁCIDO 1MG TABLETA,334,380,493,326,427,525,305,244,341,343,457,444,385,0,"0,00",13,13,13,18,"0,2091",14,SUAV,"0,2%","81,4%",B,
710356,"CARVEDILOL TABLETA 6,25MG",384,396,435,300,225,331,461,313,295,288,544,486,372,0,"0,06",14,13,13,19,"0,2456",13,SUAV,"0,2%","81,6%",B,
717716,TERMOMETRO,281,389,397,353,390,389,439,389,355,300,292,294,356,0,"0,11",11,12,10,15,"0,1398",12,PROM,"0,2%","81,8%",B,
T023011,TRAZODONA TABLETA 50MG,276,203,401,466,514,244,292,428,270,506,309,328,354,0,"0,02",13,12,12,18,"0,2866",12,SUAV,"0,2%","82,0%",B,
701399,AGUA ESTERIL PARA INYECCION 500ML,236,523,255,288,305,368,490,326,344,402,262,297,342,0,"0,00",12,12,12,18,"0,2542",12,SUAV,"0,2%","82,2%",B,
F017011,FUROSEMIDA 40MG TABLETA ,386,312,328,364,353,372,322,313,329,255,261,393,333,0,"0,13",11,12,9,14,"0,1273",12,PROM,"0,2%","82,4%",B,
C011723,CEFTRIAXONA 1G POLVO LIOFILIZADO,247,405,265,385,342,318,259,269,361,362,343,358,327,0,"0,05",12,11,9,14,"0,1569",11,SUAV,"0,2%","82,6%",B,
145329,DEXMEDETOMIDINA 200MCG/2ML SOL. INYECTABLE,407,435,316,234,230,273,242,335,137,267,529,470,323,0,"0,01",12,11,11,18,"0,3429",11,SUAV,"0,2%","82,8%",B,
N008141,NIMODIPINO TABLETA 30MG,268,115,212,113,237,499,424,236,953,572,135,102,323,0,"0,06",15,11,11,32,"0,7488",11,SUAV,"0,2%","83,0%",B,
H013701,N-BUTILBROMURO HIOSCINA SOL. INYECTABLE 20MG/1ML,280,383,469,284,357,290,223,259,252,424,336,265,319,0,"0,06",10,11,11,16,"0,2274",11,SUAV,"0,2%","83,2%",B,
H008721,HIDROCORTISONA POLVO LIOFILIZADO 100MG,229,280,314,373,296,244,394,332,437,280,317,304,317,0,"0,10",12,11,8,15,"0,1824",11,SUAV,"0,2%","83,4%",B,
L006011,LEVOTIROXINA TABLETA 50MCG,354,271,322,297,371,362,268,327,351,342,200,178,304,0,"0,23",9,11,11,13,"0,1991",11,SUAV,"0,2%","83,6%",B,
702490,TAPON HEPARINA ROJO,297,384,324,438,256,262,345,300,236,268,250,208,298,0,"0,41",8,10,10,15,"0,2124",10,SUAV,"0,2%","83,7%",B,
V011141,VALPROICO ÁCIDO CÁPSULA 250MG,85,367,193,213,221,126,237,185,485,584,237,552,291,0,"0,37",16,10,10,20,"0,5476",10,SUAV,"0,2%","83,9%",B,
702381,EQUIPO MACROGOTEO S/A (SOLO CX E IMAGENES),365,366,308,399,301,232,268,279,216,320,214,205,290,0,"0,59",7,10,7,14,"0,2160",10,SUAV,"0,2%","84,1%",B,
730144,RIFAMPICINA/ISONIAZIDA/PIRAZINAMIDA/ETAMBUTOL TABLETA 150/75/400/275MG,412,258,128,283,187,157,415,352,336,265,315,299,284,0,"0,03",11,10,10,14,"0,3099",10,SUAV,"0,2%","84,3%",B,
702368,LLAVE DE 3 VIAS,230,319,287,246,254,224,322,393,356,231,248,273,282,0,"0,01",10,10,8,14,"0,1853",10,SUAV,"0,2%","84,4%",B,
D005711,DEXAMETASONA 8MG/2ML SOL. INYECTABLE,270,229,128,195,305,268,239,289,168,255,433,567,279,0,"0,38",14,10,10,19,"0,4067",10,SUAV,"0,2%","84,6%",B,
718218,ELECTRODO PEDIATRICO,287,305,238,280,273,131,349,222,343,221,321,237,268,0,"0,00",9,9,9,12,"0,2203",9,SUAV,"0,2%","84,8%",B,
C002701,CALCIO GLUCONATO SOL. INYECTABLE 10%/10ML,227,312,358,265,190,116,347,359,118,187,274,441,267,0,"0,01",10,9,9,15,"0,3657",9,SUAV,"0,2%","84,9%",B,
707597,ONDANSETRON SOL. INYECTABLE 8MG/4ML,323,211,97,211,48,229,295,280,253,324,341,481,258,0,"0,37",13,9,9,17,"0,4222",9,SUAV,"0,2%","85,1%",B,
700554,ASCORBICO ACIDO 500MG/5ML SOL. INYECTABLE (VITAMINA C),154,466,148,686,366,302,382,66,64,0,180,232,254,1,"0,18",4,9,9,23,"0,7418",9,SUAV,"0,2%","85,2%",B,
H0000002,HIDROXICINA TABLETA 25MG,307,180,289,328,222,170,296,346,180,477,147,90,253,0,"0,04",8,9,9,16,"0,4063",9,SUAV,"0,2%","85,4%",B,
702241,GUANTE ESTERIL 7.0 (PAR),1,12,9,12,11,6,215,571,650,0,825,694,251,1,"0,58",24,9,9,28,"1,2623",8,SUAV,"0,1%","85,5%",B,
A037011,AMLODIPINO 5 MG TABLETA ,207,128,178,219,163,202,268,442,524,266,139,204,245,0,"0,11",11,9,9,18,"0,4704",8,SUAV,"0,1%","85,7%",B,
P007721,PENICILINA G CRISTALINA POLVO LIOFILIZADO 1000000UI,387,222,100,243,344,269,20,9,23,130,352,822,244,0,"0,05",12,9,9,28,"0,8895",9,SUAV,"0,1%","85,8%",B,
F009701,FLUCONAZOL 200MG/100ML SOL. INYECTABLE,222,185,230,208,184,179,322,257,269,158,360,339,243,0,"0,32",11,9,9,12,"0,2657",9,SUAV,"0,1%","85,9%",B,
704444,"PULMOCARE SOLUCIÓN ORAL 1,5KCAL/1ML (355,5KCAL/237ML)) ALIMENTO PARA PROPÓSITO",25,26,118,65,137,256,325,349,314,395,434,451,242,0,"0,94",18,9,9,16,"0,6302",8,REGR,"0,1%","86,1%",B,
A026721,AMPICILINA 500MG POLVO LIOFILIZADO ,161,229,228,155,327,166,263,167,192,183,581,217,240,0,"0,12",11,8,8,20,"0,4735",8,SUAV,"0,1%","86,2%",B,
N0000019,ESOMEPRAZOL 20MG TABLETA ,200,376,226,282,355,350,414,42,217,124,151,126,239,0,"0,26",5,8,8,14,"0,4705",9,SUAV,"0,1%","86,4%",B,
700975,(NUTREN SOLUCIÓN ORAL 1KCAL/1ML (250KCAL/250ML)) ALIMENTO LÍQUIDO PARA USOS NUT,240,409,470,201,305,217,241,118,49,447,101,65,239,0,"0,29",4,8,8,16,"0,5816",9,SUAV,"0,1%","86,5%",B,
715545,LORAZEPAM TABLETA 2MG,141,84,40,58,159,418,118,142,350,167,452,710,237,0,"0,52",17,8,8,24,"0,8199",8,SUAV,"0,1%","86,7%",B,
702242,GUANTE ESTERIL 7.5 (PAR),0,0,0,0,0,0,30,239,726,0,824,942,231,7,"0,57",25,8,8,32,"1,5388",8,SUAV,"0,1%","86,8%",B,
713679,APOSITO ESTERIL 1685 IV (TEGADERM 8.5 X 11.5),225,245,204,213,207,216,239,222,216,249,232,265,228,0,"0,24",9,8,7,9,"0,0782",8,PROM,"0,1%","86,9%",B,
702222,PERICRANEAL 23     ,218,253,200,241,252,189,284,230,215,215,187,252,228,0,"0,01",8,8,7,10,"0,1235",8,PROM,"0,1%","87,1%",B,
N0000030,ESOMEPRAZOL 40MG SOL. INYECTABLE ,80,146,287,234,317,231,308,242,283,66,340,175,226,0,"0,04",9,8,8,12,"0,3858",8,SUAV,"0,1%","87,2%",B,
D009702,DEXTROSA AL 10% AGUA DESTILADA 500 ML,154,243,261,193,204,154,317,140,204,215,281,284,221,0,"0,11",9,8,8,11,"0,2472",8,SUAV,"0,1%","87,3%",B,
702050,SONDA NELATON # 6 ,242,162,203,204,95,42,331,270,415,171,277,162,215,0,"0,05",9,8,8,14,"0,4517",7,SUAV,"0,1%","87,5%",B,
