,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,
CODIGO ACT.,ACTIVIDAD,JUL,AGO,SEP,OCT,NOV,DIC,ENE,FEB,MAR,ABR,MAY,JUN,PROM,PROM_ATIP,R2,REGR DIA,PROM DIA,MIN DIA,MAX DIA,CV,SUAV_EXP,MOD,%,% ACUM,ABC,GRAFICA
704252,CASPOFUNGINA 50MG POLVO LIOFILIZADO ,29,71,54,6,8,47,39,50,44,48,41,44,41,0,"0,01",2,2,2,3,"0,4286",2,SUAV,"0,0%","97,4%",C,
M013721,METILPREDNISOLONA SUCCINATO 500MG POLVO LIOFILIZADO ,49,52,39,46,33,21,38,38,19,49,74,33,41,0,"0,00",2,2,2,3,"0,3447",2,SUAV,"0,0%","97,5%",C,
713258,"ALPRAZOLAM TABLETA 0,50 MG ",59,75,10,18,28,67,81,26,39,15,39,30,41,0,"0,07",1,2,2,3,"0,5652",2,SUAV,"0,0%","97,5%",C,
703789,RISPERIDONA 1 MG TABLETA ,58,77,0,46,39,110,67,5,0,38,14,28,41,2,"0,14",1,2,2,4,"0,7906",2,SUAV,"0,0%","97,5%",C,
710703,HIDROXICARBAMIDA CÁPSULA 500MG,61,113,103,53,0,62,33,9,0,33,14,0,41,3,"0,56",-1,2,2,4,"0,9160",2,SUAV,"0,0%","97,5%",C,
D010701,DEXTROSA 5% EN SOL. SALINA 0.9% 500 ML,53,49,57,13,45,58,3,2,32,42,68,47,40,0,"0,00",2,2,2,3,"0,5264",2,SUAV,"0,0%","97,6%",C,
700948,MEDROXIPROGESTERONA ACETATO SUSPENSIÓN INYECTABLE 50MG/ML (150MG/3ML),52,84,94,85,42,37,24,1,0,61,0,0,40,3,"0,56",-1,2,2,4,"0,8555",2,SUAV,"0,0%","97,6%",C,
C035251,COLESTIRAMINA 4G POLVO PARA SOLUCIÓN ORAL,9,20,62,69,7,27,82,3,66,55,10,57,39,0,"0,03",2,2,2,3,"0,7081",2,SUAV,"0,0%","97,6%",C,
708786,SENSOR NEONATAL PULSOXIMETRO,16,44,37,31,39,50,64,39,41,33,42,27,39,0,"0,02",2,2,2,3,"0,2923",2,SUAV,"0,0%","97,6%",C,
730038,"SURVIMED OPD SOLUCIÓN ORAL 1,33KCAL/1ML (665KCAL/500ML)) ALIMENTO LIQUIDO OLIG",14,9,20,38,57,22,19,76,61,72,51,19,39,0,"0,26",3,2,2,3,"0,5911",2,SUAV,"0,0%","97,6%",C,
706682,QUETIAPINA TABLETA 100MG,0,24,21,16,10,0,103,36,98,0,82,63,38,3,"0,29",3,2,2,4,"0,9751",2,SUAV,"0,0%","97,7%",C,
702054,SONDA NELATON # 12 ,15,41,46,18,58,38,47,42,26,69,15,36,38,0,"0,02",2,2,2,3,"0,4253",2,SUAV,"0,0%","97,7%",C,
716842,TERLIPRESINA ACETATO 1MG,1,6,167,32,27,25,72,5,72,41,0,0,38,2,"0,04",1,2,2,6,"1,2167",2,SUAV,"0,0%","97,7%",C,
C003101,"CALCITRIOL 0,25MCG CÁPSULA ",24,39,97,23,28,31,2,18,6,46,66,57,37,0,"0,00",2,2,2,4,"0,6957",2,SUAV,"0,0%","97,7%",C,
C031321,CLOTRIMAZOL CREMA TÓPICA 1% ,74,52,41,53,30,23,28,12,40,45,21,20,37,0,"0,47",1,2,2,3,"0,4571",2,SUAV,"0,0%","97,8%",C,
D0000011,DILTIAZEM 60MG TABLETA ,17,16,0,37,54,9,50,25,52,24,23,118,36,1,"0,31",3,2,2,4,"0,8301",2,SUAV,"0,0%","97,8%",C,
701452,NITROGLICERINA SOLUCIÓN INYECTABLE 50MG/250ML,16,25,31,31,49,61,36,27,58,24,25,44,36,0,"0,07",2,2,2,3,"0,3809",2,SUAV,"0,0%","97,8%",C,
A024011,AMITRIPTILINA 25MG TABLETA ,5,36,17,11,53,16,72,32,67,26,55,33,36,0,"0,22",2,2,2,3,"0,5877",2,SUAV,"0,0%","97,8%",C,
157471,OCTEOTRIDE ACETATO SOLUCIÓN INYECTABLE 20MG,21,13,0,44,84,108,3,157,0,0,0,0,36,5,"0,01",1,2,2,6,"1,4008",2,SUAV,"0,0%","97,8%",C,
700631,"OCTREOTIDE SOLUCIÓN INYECTABLE 0,1MG/1ML",21,13,0,44,84,108,3,157,0,0,0,0,36,5,"0,01",1,2,2,6,"1,4008",2,SUAV,"0,0%","97,9%",C,
730189,APOSITO PERIFERICO IV3000 7X9CM (TEGADERM PERIFERICO),0,0,0,0,0,0,0,0,0,429,0,0,36,11,"0,09",4,2,2,15,"3,2936",2,SUAV,"0,0%","97,9%",C,
S010721,NITROPRUSIATO POLVO LIOFILIZADO 50MG,0,33,30,2,38,48,23,24,64,47,55,50,35,1,"0,49",2,2,2,3,"0,5467",2,SUAV,"0,0%","97,9%",C,
700887,"BETAMETILDIGOXINA 0,2MG/2ML SOL. INYECTABLE",41,23,48,13,51,29,60,33,16,29,32,37,35,0,"0,01",2,2,2,2,"0,3832",2,SUAV,"0,0%","97,9%",C,
700974,GLUCERNA SOLUCIÓN ORAL 1KCAL/1ML (1500KCAL/1500ML)) ALIMENTO LÍQUIDO PARA PROP,30,24,0,15,89,55,69,63,5,20,26,20,35,1,"0,00",2,2,2,3,"0,7585",2,SUAV,"0,0%","97,9%",C,
700021,ALFAMETILDOPA TABLETA 250MG,52,61,21,8,31,110,15,3,66,27,19,5,35,0,"0,09",1,2,2,4,"0,8704",2,SUAV,"0,0%","98,0%",C,
152912,PARACETAMOL SOLUCIÓN INYECTABLE 1G/100ML,93,40,51,2,4,57,57,7,67,29,4,0,35,1,"0,22",1,2,2,4,"0,8526",2,SUAV,"0,0%","98,0%",C,
730066,EQUIPO DE INFUSION DE LIQUIDOS FOTOSENSIBLES,25,31,28,24,32,40,35,30,50,33,33,38,34,0,"0,32",2,2,2,2,"0,1992",2,SUAV,"0,0%","98,0%",C,
713099,CATETER VENOSO CENTRAL TRILUMEN (CVC) 7FRX20CM ,25,38,31,33,32,44,38,32,35,26,37,33,34,0,"0,01",2,2,1,2,"0,1482",2,PROM,"0,0%","98,0%",C,
700441,POTASIO GLUCONATO ELIXIR 20MEQ/15ML ,47,23,31,34,30,39,28,39,38,24,40,28,34,0,"0,02",2,2,2,2,"0,2053",2,SUAV,"0,0%","98,0%",C,
C034011,"COLCHICINA 0,5MG TABLETA",9,35,42,17,32,110,28,77,23,21,5,0,34,1,"0,03",1,2,2,4,"0,8874",2,SUAV,"0,0%","98,1%",C,
R005101,RIFAMPICINA CÁPSULA 300MG,92,2,18,79,88,6,0,36,0,38,2,32,33,2,"0,15",1,2,2,4,"1,0243",2,SUAV,"0,0%","98,1%",C,
704102,HIERRO SACAROSA SOL. INYECTABLE 100MG/5ML,27,43,22,51,28,8,25,32,29,44,56,30,33,0,"0,05",2,2,2,2,"0,3884",2,SUAV,"0,0%","98,1%",C,
151766,CLOBAZAM TABLETA 10 MG ,0,0,0,99,67,51,0,0,0,169,0,0,33,8,"0,01",2,2,2,6,"1,5900",2,SUAV,"0,0%","98,1%",C,
H0000004,L-ASPARTATO/L-ORNITINA SOLUCIÓN INYECTABLE 5G/10ML,0,66,43,59,101,0,59,0,36,19,12,0,33,4,"0,15",1,2,2,4,"0,9649",2,SUAV,"0,0%","98,1%",C,
705632,SALBUTAMOL SUSP. PARA INHALACIÓN 100MCG//1PUFF/200PUFF,34,16,32,43,39,36,48,32,36,28,14,16,32,0,"0,11",1,2,2,2,"0,3260",2,SUAV,"0,0%","98,2%",C,
L0000017,INSULINA GLARGINA 100UI/ML x 10 ML (1000UI) SOL. INYECTABLE ,35,29,31,19,42,42,35,13,30,30,31,30,31,0,"0,02",1,2,2,2,"0,2545",2,SUAV,"0,0%","98,2%",C,
708363,CIANOCOBALAMINA 1MG/1ML (VITAMINA B12) SOL. INYECTABLE,3,45,20,16,66,32,42,13,18,31,61,17,31,0,"0,02",2,2,2,3,"0,6076",1,SUAV,"0,0%","98,2%",C,
D0000020,"DIPIRONA 2,5G/5ML SOL. INYECTABLE ",23,0,0,0,0,11,8,27,100,0,65,121,30,5,"0,44",3,1,1,5,"1,3542",1,SUAV,"0,0%","98,2%",C,
G003704,GENTAMICINA 160MG/2ML SOL. INYECTABLE ,11,33,45,25,8,19,47,48,20,19,39,40,30,0,"0,08",2,1,1,2,"0,4551",1,SUAV,"0,0%","98,2%",C,
706670,ACICLOVIR TABLETA 800MG,22,13,73,0,37,1,0,0,0,189,16,6,30,4,"0,02",2,1,1,7,"1,7412",1,SUAV,"0,0%","98,3%",C,
C046101,CALCIO CARBONATO/VITAMINA D TABLETA 600MG/200UI,7,4,9,12,3,4,2,27,29,3,62,176,29,0,"0,40",3,1,1,6,"1,6416",1,SUAV,"0,0%","98,3%",C,
700821,DALTEPARINA SODICA 5.000 UI (ANTIFACTOR XA) SOL. INYECTABLE,42,79,26,25,0,34,47,3,4,37,0,45,29,2,"0,13",1,1,1,3,"0,7928",1,SUAV,"0,0%","98,3%",C,
702063,SONDA SUCCION # 12,20,15,9,33,84,3,2,75,33,15,16,38,29,0,"0,01",2,1,1,3,"0,8734",1,SUAV,"0,0%","98,3%",C,
V0000004,VALSARTAN TABLETA 160MG,7,61,37,70,74,16,6,9,22,0,22,18,29,1,"0,21",1,1,1,3,"0,8582",2,SUAV,"0,0%","98,3%",C,
715576,DORIPENEM POLVO LIOFILIZADO 500MG,4,0,0,0,0,46,0,0,0,5,199,74,28,7,"0,30",3,1,1,7,"2,0168",1,SUAV,"0,0%","98,3%",C,
702061,SONDA SUCCION # 8   ,15,28,19,26,9,4,32,36,36,20,62,42,28,0,"0,38",2,1,1,3,"0,5403",1,SUAV,"0,0%","98,4%",C,
717864,"TAMSULOSINA CÁPSULA DE LIBERACIÓN CONTROLADA 0,4MG",25,20,16,41,56,53,26,26,25,24,1,12,28,0,"0,13",1,1,1,2,"0,5458",1,SUAV,"0,0%","98,4%",C,
A002451,BECLOMETASONA 50MCG/ PUFF SOL. PARA INHALACIÓN,28,28,36,46,30,27,46,28,30,22,8,6,28,0,"0,37",1,1,1,2,"0,4176",1,SUAV,"0,0%","98,4%",C,
162958,INDACATEROL/GLICOPIRRONIO POLVO PARA INHALACIÓN EN CÁPSULA 110MCG/50MCG,0,90,30,60,60,0,30,0,30,30,0,0,28,5,"0,22",1,1,1,3,"1,0219",1,SUAV,"0,0%","98,4%",C,
703730,S/TRACH-CARE 14FR/ 4445P02514  CORTA ,7,15,22,20,27,46,40,33,23,9,40,39,27,0,"0,25",2,1,1,2,"0,4582",1,SUAV,"0,0%","98,4%",C,
702021,SONDA FOLEY 2 VIAS 16FRX30CM   ,27,27,29,35,33,21,34,35,24,0,25,23,27,1,"0,16",1,1,1,2,"0,3383",1,SUAV,"0,0%","98,4%",C,
B005701,BETAMETASONA 4MG/1ML SOL. INYECTABLE,18,42,15,24,31,27,27,16,24,12,46,25,26,0,"0,00",1,1,1,2,"0,3799",1,SUAV,"0,0%","98,4%",C,
T012011,TINIDAZOL TABLETA 500MG,0,4,16,8,54,25,18,26,8,20,39,74,25,1,"0,38",2,1,1,3,"0,8353",1,SUAV,"0,0%","98,5%",C,
701479,"SODIO CLORURO ENEMA RECTAL 2,5G/1000ML",17,15,30,27,21,29,28,22,17,32,30,24,25,0,"0,15",1,1,1,2,"0,2241",1,SUAV,"0,0%","98,5%",C,
A013011,ALOPURINOL TABLETA 100MG,4,24,41,17,37,17,0,63,60,28,0,0,25,3,"0,00",1,1,1,3,"0,8576",1,SUAV,"0,0%","98,5%",C,
T0000001,TIGECICLINA 50MG POLVO PARA RECONSTITUCION,7,47,30,46,25,49,7,9,7,0,20,33,24,1,"0,10",1,1,1,2,"0,7049",1,SUAV,"0,0%","98,5%",C,
702060,S/SUCCION  6 1129,28,6,8,5,6,12,43,57,34,19,36,23,24,0,"0,22",2,1,1,2,"0,6735",1,SUAV,"0,0%","98,5%",C,
F013141,FLUOXETINA 20M GCAPSULA ,57,35,36,22,8,0,4,11,0,65,20,23,24,2,"0,06",1,1,1,3,"0,8530",1,SUAV,"0,0%","98,5%",C,
700967,"ENSURE PLUS HN SOLUCIÓN ORAL 1,5KCAL/1ML (1500KCAL/1000ML) ALIMENTO DE USO ESPEC",2,47,29,7,9,60,87,12,0,5,19,9,24,1,"0,03",1,1,1,3,"1,0857",1,SUAV,"0,0%","98,5%",C,
H013021,N-BUTILBROMURO HIOSCINA TABLETA 10MG,33,49,1,0,33,72,0,16,30,23,35,0,25,3,"0,03",1,1,1,3,"0,8617",1,SUAV,"0,0%","98,6%",C,
I004721,IMIPENEM/CILASTATINA 500MG/500MG POLVO LIOFILIZADO ,0,0,19,0,19,0,0,0,12,228,3,0,24,7,"0,09",2,1,1,8,"2,5876",1,SUAV,"0,0%","98,6%",C,
V0000011,VORICONAZOL POLVO LIOFILIZADO 200MG,0,0,16,0,0,0,46,28,16,138,36,0,24,6,"0,20",2,1,1,5,"1,5783",1,SUAV,"0,0%","98,6%",C,
702052,SONDA NELATON # 10   ,16,30,13,26,43,8,9,25,24,24,17,41,23,0,"0,04",1,1,1,2,"0,4686",1,SUAV,"0,0%","98,6%",C,
717923,INSULINA GLULISINA SOL. INYECTABLE 100UI/ML x 10ML (1000UI),22,18,27,13,23,27,18,15,24,17,26,36,23,0,"0,12",1,1,1,2,"0,2673",1,SUAV,"0,0%","98,6%",C,
700966,JEVITY SOLUCIÓN ORAL 1KCAL/1ML (1500KCAL/1500ML)) ALIMENTO PARA PROPÓSITOS MÉD,3,21,18,9,33,4,28,25,27,41,27,29,23,0,"0,41",2,1,1,2,"0,4856",1,SUAV,"0,0%","98,6%",C,
719225,"DUTASTERIDA/TAMSULOSINA CÁPSULA 0,5MG/0,4MG (0,9MG)",19,21,12,42,39,8,17,17,42,0,25,26,23,1,"0,00",1,1,1,2,"0,5546",1,SUAV,"0,0%","98,6%",C,
P0000025,POLIMIXINA B SOLUCIÓN INYECTABLE 500000UI,0,13,0,7,4,45,2,0,19,39,93,37,22,3,"0,40",2,1,1,4,"1,2149",1,SUAV,"0,0%","98,7%",C,
700971,"(OSMOLITE HN PLUS SOLUCIÓN ORAL 1,2KCAL/1ML (1800KCAL/1500ML)) ALIMENTO PARA PR",32,39,30,45,29,21,5,4,0,5,11,35,22,1,"0,33",1,1,1,2,"0,6822",1,SUAV,"0,0%","98,7%",C,
131059,HIDROXICLOROQUINA SULFATO TABLETA 200MG,0,0,0,3,4,0,0,0,0,0,233,21,22,8,"0,19",3,1,1,8,"2,9069",1,SUAV,"0,0%","98,7%",C,
P0000013,PREGABALINA CÁPSULA 150MG,76,12,14,36,28,22,29,0,2,19,0,15,22,2,"0,36",-1,1,1,3,"0,9069",1,SUAV,"0,0%","98,7%",C,
145537,CISATRACURIO 10MG/5ML SOL. INYECTABLE,0,0,25,0,0,87,0,0,0,0,152,0,22,9,"0,08",2,1,1,6,"2,0949",1,SUAV,"0,0%","98,7%",C,
716715,CLONAZEPAM TABLETA 2 MG ,1,7,10,0,12,12,1,8,3,97,55,36,21,1,"0,38",2,1,1,4,"1,3300",1,SUAV,"0,0%","98,7%",C,
D031141,DOXICICLINA 100MG TABLETA ,0,52,18,62,5,4,3,10,30,11,17,35,21,1,"0,01",1,1,1,3,"0,9194",1,SUAV,"0,0%","98,7%",C,
E0000017,ERTAPENEM POLVO LIOFILIZADO 1G ,39,13,20,40,21,21,32,4,8,32,0,12,21,1,"0,25",1,1,1,2,"0,6091",1,SUAV,"0,0%","98,7%",C,
V000000013,VORICONAZOL TABLETA 200MG,13,0,0,20,0,0,0,2,58,24,58,57,20,5,"0,50",2,1,1,2,"1,1762",1,SUAV,"0,0%","98,8%",C,
700741,SACUBITRIL/ VALSARTAN 50 MG TABLETA,1,9,40,15,5,23,34,22,3,24,36,22,20,0,"0,12",1,1,1,2,"0,6296",1,SUAV,"0,0%","98,8%",C,
702045,SONDA NASOGASTRICA # 16   ,20,18,7,23,26,14,22,29,29,12,12,19,20,0,"0,00",1,1,1,1,"0,3361",1,SUAV,"0,0%","98,8%",C,
702696,TUBO ENDOTRAQUEAL 7.5 C/BL,10,12,10,19,19,26,32,13,33,22,24,16,20,0,"0,25",1,1,1,2,"0,3815",1,SUAV,"0,0%","98,8%",C,
701847,BACTIGRAS 10X10 ,20,12,21,28,15,14,16,53,25,11,12,11,20,0,"0,01",1,1,1,2,"0,5675",1,SUAV,"0,0%","98,8%",C,
E007141,ERITROMICINA 500MG TABLETA ,0,37,42,0,13,20,6,28,11,0,23,39,19,3,"0,01",1,1,1,2,"0,7889",1,SUAV,"0,0%","98,8%",C,
701278,SET ENTERAL TAPA ROSCA Y PUNZON,80,22,13,17,11,9,7,5,1,24,2,29,19,0,"0,20",1,1,1,3,"1,0751",1,SUAV,"0,0%","98,8%",C,
700639,ANFOTERICINA B 50MG POLVO LIOFILIZADO ,0,2,26,19,14,2,2,35,33,3,61,28,19,1,"0,30",2,1,1,3,"0,9432",1,SUAV,"0,0%","98,8%",C,
H014701,HIDROXICINA CLORHIDRATO SOL. 100MG/1ML,12,16,24,16,19,14,19,18,10,31,27,18,19,0,"0,15",1,1,1,2,"0,3064",1,SUAV,"0,0%","98,8%",C,
D023011,DIMENHIDRINATO 50MG TABLETA,5,0,1,4,43,46,9,41,3,30,36,2,19,1,"0,09",1,1,1,2,"0,9542",1,SUAV,"0,0%","98,9%",C,
703187,CANISTER 1100ML,21,14,20,26,27,32,17,24,10,14,18,0,19,1,"0,25",1,1,1,2,"0,4316",1,SUAV,"0,0%","98,9%",C,
A002011,ACETAZOLAMIDA 250MG TABLETA ,17,0,4,17,6,64,10,30,0,15,0,43,18,3,"0,04",1,1,1,3,"1,0472",1,SUAV,"0,0%","98,9%",C,
700605,INMUNOGLOBULINA HUMANA NORMAL  6 GR/200ML SOL. INYECTABLE,0,93,28,0,9,11,43,0,24,0,0,0,18,6,"0,17",-1,1,1,4,"1,4746",1,SUAV,"0,0%","98,9%",C,
L004011,LEVOMEPROMAZINA TABLETA 25MG,72,103,15,0,0,0,0,0,0,25,0,0,18,8,"0,37",-1,1,1,4,"1,8138",1,SUAV,"0,0%","98,9%",C,
D029701,DOPAMINA 200MG/5ML SOL. INYECTABLE ,4,32,9,4,5,1,8,21,3,7,61,38,17,0,"0,21",2,1,1,3,"1,0450",1,SUAV,"0,0%","98,9%",C,
700800,HALOPERIDOL 5MG TABLETA  ,24,0,11,16,18,0,23,1,0,80,5,17,17,3,"0,04",1,1,1,3,"1,2423",1,SUAV,"0,0%","98,9%",C,
702079,BRAZALETE NEO/3,12,17,10,12,17,17,27,22,17,19,12,17,17,0,"0,11",1,1,1,1,"0,2690",1,SUAV,"0,0%","98,9%",C,
N009231,NISTATINA SUSPENSIÓN ORAL 100000UI/1ML (6000000UI/60ML),9,14,18,10,14,19,28,18,12,20,23,13,17,0,"0,15",1,1,1,1,"0,3136",1,SUAV,"0,0%","98,9%",C,
700544,SOMATOSTATINA POLVO LIOFILIZADO 3MG,0,0,3,64,0,4,23,0,0,0,51,43,16,6,"0,11",1,1,1,3,"1,4154",1,SUAV,"0,0%","98,9%",C,
V016011,VERAPAMILO TABLETA 120MG,15,59,44,4,0,4,2,16,0,0,0,37,16,4,"0,13",1,1,1,2,"1,2201",1,SUAV,"0,0%","99,0%",C,
715460,BOLSA ACTIVE LIFE ADULTO-22771 ,23,5,1,7,14,19,39,19,17,8,19,21,16,0,"0,09",1,1,1,2,"0,6054",1,SUAV,"0,0%","99,0%",C,
H001201,HALOPERIDOL 2MG/20 GOTAS SOL. ORAL,17,15,9,22,26,14,19,6,10,23,9,17,16,0,"0,02",1,1,1,1,"0,3754",1,SUAV,"0,0%","99,0%",C,
I008701,INSULINA ZINC CRISTALINA SOL. INYECTABLE 100UI/ML x 10ML (1000UI),15,15,15,11,19,15,20,11,17,15,12,16,16,0,"0,00",1,1,1,1,"0,1682",1,SUAV,"0,0%","99,0%",C,
717825,TENOFOVIR/EMTRICITABINA 300MG/200MG TABLETA,36,13,50,45,0,1,3,3,3,4,12,15,16,1,"0,29",-1,1,1,2,"1,0751",1,SUAV,"0,0%","99,0%",C,
L0000009,LABETALOL SOLUCIÓN INYECTABLE 100MG/20ML,60,8,6,6,10,1,8,17,3,38,19,11,16,0,"0,02",1,1,1,2,"1,0224",1,SUAV,"0,0%","99,0%",C,
710768,CYSTOFLOW 500 ML,20,25,27,15,17,10,5,11,13,26,11,7,16,0,"0,27",1,1,1,1,"0,4474",1,SUAV,"0,0%","99,0%",C,
730138,OSELTAMIVIR CAPSULA 75MG,40,18,8,12,10,38,44,0,15,4,0,0,16,3,"0,25",1,1,1,2,"0,9676",1,SUAV,"0,0%","99,0%",C,
702452,STOMAHESIVE PASTA TBX2 ONZ.,20,5,4,4,9,12,22,18,36,12,7,31,15,0,"0,22",1,1,1,2,"0,6777",1,SUAV,"0,0%","99,0%",C,
T009141,TIAMINA 300MG TABLETA ,23,0,10,3,0,2,50,26,7,9,14,31,15,2,"0,09",1,1,1,2,"0,9724",1,SUAV,"0,0%","99,0%",C,
702310,BARRERA STOMAHESIVE 20MMX20MM LISA ,19,2,7,0,5,20,31,13,24,11,13,25,15,1,"0,20",1,1,1,2,"0,6241",1,SUAV,"0,0%","99,0%",C,
705961,MESALAZINA TABLETA 500MG,12,0,0,0,54,31,0,46,0,8,0,18,15,6,"0,00",1,1,1,2,"1,2390",1,SUAV,"0,0%","99,1%",C,
G0000001,GABAPENTIN CÁPSULA 300MG,0,0,0,142,39,0,0,0,0,0,0,0,16,10,"0,06",-1,1,1,5,"2,4840",1,SUAV,"0,0%","99,1%",C,
A025142,AMOXICILINA 500MG CAPSULA ,30,26,24,0,0,0,22,0,0,15,0,50,14,6,"0,00",1,1,1,2,"1,1363",1,SUAV,"0,0%","99,1%",C,
702323,BOLSA OSTOMIA OP/57 - 60 MM ,5,15,19,13,22,3,7,8,21,24,11,16,14,0,"0,05",1,1,1,1,"0,4786",1,SUAV,"0,0%","99,1%",C,
171762,"NEPRO BP SOLUCIÓN ORAL 1,8KCAL/1ML (426,6KCAL/237ML)) ALIMENTO PARA PROPÓSITOS",22,19,0,0,25,41,0,6,0,17,30,7,14,4,"0,00",1,1,1,2,"0,9451",1,SUAV,"0,0%","99,1%",C,
716204,KETAMINA SOL. INYECTABLE 500MG,1,3,3,72,70,2,0,3,5,1,2,1,14,1,"0,07",1,1,1,3,"1,8365",1,SUAV,"0,0%","99,1%",C,
702022,SONDA FOLEY 2 VÍAS 18FRX5CM ,0,0,13,17,26,18,26,27,13,27,0,0,14,4,"0,01",1,1,1,1,"0,7816",1,SUAV,"0,0%","99,1%",C,
702473,FENOBARBITAL SOLUCIÓN INYECTABLE 40 MG/1ML ,19,7,28,12,12,5,4,0,13,40,23,0,14,2,"0,00",1,1,1,2,"0,8266",1,SUAV,"0,0%","99,1%",C,
702023,SONDA FOLEY 2 VÍAS 18FRX30CM    ,29,23,12,7,5,0,0,3,15,0,27,25,13,3,"0,01",1,1,1,1,"0,8308",1,SUAV,"0,0%","99,1%",C,
702302,BARRERA STOMAHESIVE 57 - 60 MM ,4,12,17,17,14,3,9,8,20,18,14,18,13,0,"0,16",1,1,1,1,"0,4188",1,SUAV,"0,0%","99,1%",C,
702695,TUBO ENDOTRAQUEAL 8.0 C/BL,26,9,12,12,7,15,14,4,9,13,10,14,13,0,"0,11",1,1,1,1,"0,4003",1,SUAV,"0,0%","99,1%",C,
701843,ALGODON LAMINADO 6X5,11,8,8,15,8,19,24,19,10,8,2,13,13,0,"0,00",1,1,1,1,"0,4556",1,SUAV,"0,0%","99,1%",C,
707118,AZITROMICINA TABLETA 500MG,8,0,13,8,0,0,3,0,14,13,77,12,13,4,"0,21",1,1,1,3,"1,5574",1,SUAV,"0,0%","99,1%",C,
710045,SEDA 3-0 SS684( C-14)SOFSILK,6,12,16,13,13,10,23,14,15,5,19,8,13,0,"0,01",1,1,1,1,"0,3831",1,SUAV,"0,0%","99,2%",C,
702251,BISTURI # 15 ,19,15,15,25,8,11,12,14,7,14,8,7,13,0,"0,41",1,1,1,1,"0,3953",1,SUAV,"0,0%","99,2%",C,
719540,"GLUCERNA SOLUCIÓN ORAL 1,5KCAL/1ML (1500KCAL/1000ML)) ALIMENTO LÍQUIDO PARA PR",11,0,26,11,30,18,2,19,5,17,3,5,13,1,"0,06",1,1,1,1,"0,7210",1,SUAV,"0,0%","99,2%",C,
770066,ELTROMBOPAG 25 MG TAB ORAL,0,0,0,0,0,0,3,62,6,16,69,0,13,7,"0,23",2,1,1,3,"1,8416",1,SUAV,"0,0%","99,2%",C,
770075,FILGRASTIM SOLUCIÓN INYECTABLE 300MCG (ONCOLOGICO),15,6,9,12,0,12,41,20,13,17,2,0,13,2,"0,00",1,1,1,2,"0,8226",1,SUAV,"0,0%","99,2%",C,
A019101,AMANTADINA 100MG CAPSULA ,8,48,28,43,3,0,0,10,0,16,0,0,13,5,"0,33",-1,1,1,2,"1,2829",1,SUAV,"0,0%","99,2%",C,
I002011,IBUPROFENO TABLETA 400MG,0,6,3,4,1,15,64,19,0,6,38,0,13,3,"0,07",1,1,1,3,"1,4384",1,SUAV,"0,0%","99,2%",C,
I020011,ISOSORBIDE DINITRATO 10MG TABLETA,17,12,4,16,26,5,15,20,31,0,7,0,13,2,"0,06",1,1,1,2,"0,7332",1,SUAV,"0,0%","99,2%",C,
V016141,VERAPAMILO TABLETA 80MG,4,4,11,5,0,2,34,12,6,22,28,16,12,1,"0,33",1,1,1,2,"0,8720",1,SUAV,"0,0%","99,2%",C,
162558,LEVOFLOXACINA SOLUCIÓN INYECTABLE 500MG/100ML,0,0,4,53,10,0,12,0,23,0,25,13,12,5,"0,02",1,1,1,2,"1,2635",1,SUAV,"0,0%","99,2%",C,
702090,CATETER UMBILICAL 5.0FR,6,11,16,12,9,9,19,11,17,3,16,9,12,0,"0,01",1,1,1,1,"0,3796",1,SUAV,"0,0%","99,2%",C,
702303,BARRERA STOMAHESIVE 70MM ,21,16,7,1,1,19,11,7,14,18,22,7,12,0,"0,01",1,1,1,1,"0,5912",1,SUAV,"0,0%","99,2%",C,
E038162,EFAVIRENZ 600MG TABLETA,40,0,40,27,0,0,3,3,3,2,13,5,12,3,"0,28",-1,1,1,2,"1,2296",1,SUAV,"0,0%","99,2%",C,
702531,EXTENSION DE MONITOREO MACHO MACHO,14,17,16,17,18,13,6,8,10,8,6,3,12,0,"0,73",1,1,1,1,"0,4101",1,SUAV,"0,0%","99,3%",C,
718072,ENTEREX POLVO PARA SOLUCIÓN ORAL 110G ALIMENTO PARA USOS NUTRICIONALES ESPECIALE,0,70,15,10,4,0,40,0,3,0,0,0,12,6,"0,19",-1,1,1,3,"1,7297",1,SUAV,"0,0%","99,3%",C,
I005022,IMIPRAMINA TABLETA 25MG,3,0,0,65,15,28,24,0,1,0,0,0,12,6,"0,07",1,1,1,3,"1,5736",1,SUAV,"0,0%","99,3%",C,
R0000014,ROSUVASTATINA TABLETA 20MG,7,5,27,0,11,14,19,2,31,19,0,0,12,3,"0,00",1,1,1,2,"0,8634",1,SUAV,"0,0%","99,3%",C,
B008011,BIPERIDENO 2MG TABLETA,3,6,3,23,10,1,12,9,3,16,5,32,11,0,"0,17",1,1,1,2,"0,8141",1,SUAV,"0,0%","99,3%",C,
702243,GUANTE ESTERIL 8.0 (PAR),0,0,0,0,0,0,12,51,25,0,12,27,11,7,"0,29",1,1,1,2,"1,4130",1,SUAV,"0,0%","99,3%",C,
702324,BOLSA OSTOMIA OP /70MM ,19,13,7,1,1,19,10,6,7,15,23,7,11,0,"0,01",1,1,1,1,"0,6236",1,SUAV,"0,0%","99,3%",C,
702089,CATETER UMBILICAL 3.5 FR,4,12,15,7,7,8,22,13,14,2,16,6,11,0,"0,01",1,1,1,1,"0,5041",1,SUAV,"0,0%","99,3%",C,
