fecha,producto_id,demanda,categoria_abc,variabilidad,prediccion_media_movil,prediccion_regresion_lineal,prediccion_xgboost,metodo_usado,prediccion_final,error_final
2022-04-01,153257,94,C,Media,70.0,125.13289487465786,15.781763,Media móvil,70.0,-24.0
2022-05-01,153257,18,C,Media,63.666666666666664,81.68217930483415,45.749065,Media móvil,63.666666666666664,45.666666666666664
2022-06-01,153257,54,C,Media,45.666666666666664,38.427365237672234,32.321907,Media móvil,45.666666666666664,-8.333333333333336
2022-04-01,157471,0,C,Alta,53.333333333333336,36.74509144843287,18.055704,XGBoost,18.05570411682129,18.05570411682129
2022-05-01,157471,0,C,Alta,52.333333333333336,188.57889429041015,0.7364744,XGBoost,0.7364743947982788,0.7364743947982788
2022-06-01,157471,0,C,Alta,0.0,0.0,0.0,XGBoost,0.0,0.0
2022-04-01,160729,29,C,Alta,0.0,0.0,0.388001,XGBoost,0.3880009949207306,-28.61199900507927
2022-05-01,160729,0,C,Alta,9.666666666666666,5.0707982215477,0.0,XGBoost,0.0,0.0
2022-06-01,160729,0,C,Alta,9.666666666666666,5.0707982215477,0.19708617,XGBoost,0.1970861703157425,0.1970861703157425
2022-04-01,162236,4,C,Media,0.3333333333333333,0.0,2.2385602,XGBoost,2.238560199737549,-1.7614398002624512
2022-05-01,162236,5,C,Media,1.6666666666666667,0.0,2.72641,XGBoost,2.726409912109375,-2.273590087890625
2022-06-01,162236,4,C,Media,3.0,0.0,2.4866402,XGBoost,2.486640214920044,-1.513359785079956
2022-04-01,162378,0,C,Alta,0.0,0.0,0.4609054,Media móvil,0.0,0.0
2022-05-01,162378,0,C,Alta,0.0,0.0,0.3563239,Media móvil,0.0,0.0
2022-06-01,162378,0,C,Alta,0.0,0.0,0.5275314,Media móvil,0.0,0.0
2022-04-01,162558,0,C,Alta,11.666666666666666,12.649167295676925,1.7985644,Media móvil,11.666666666666666,11.666666666666666
2022-05-01,162558,25,C,Alta,7.666666666666667,3.2163279094886166,2.730733,Media móvil,7.666666666666667,-17.333333333333332
2022-06-01,162558,13,C,Alta,16.0,26.748294235885233,4.518928,Media móvil,16.0,3.0
2022-04-01,162958,30,C,Alta,20.0,32.68727464842455,11.06312,Regresión Lineal,32.68727464842455,2.687274648424548
2022-05-01,162958,0,C,Alta,20.0,2.8602826821442253,10.459708,Regresión Lineal,2.8602826821442253,2.8602826821442253
2022-06-01,162958,0,C,Alta,20.0,35.13877144006994,21.26391,Regresión Lineal,35.13877144006994,35.13877144006994
2022-04-01,164333,3,C,Alta,22.666666666666668,13.398874773720763,1.2362206,XGBoost,1.2362205982208252,-1.7637794017791748
2022-05-01,164333,9,C,Alta,22.0,20.662765238578952,0.0,XGBoost,0.0,-9.0
2022-06-01,164333,5,C,Alta,21.0,59.704439587792834,1.4802499,XGBoost,1.4802498817443848,-3.5197501182556152
2022-04-01,171762,17,C,Media,2.0,0.0,3.0982876,XGBoost,3.098287582397461,-13.901712417602539
2022-05-01,171762,30,C,Media,7.666666666666667,6.624900809597783,3.8425927,XGBoost,3.842592716217041,-26.15740728378296
2022-06-01,171762,7,C,Media,15.666666666666666,2.6865523645502147,3.9773612,XGBoost,3.9773612022399902,-3.0226387977600098
2022-04-01,19973360,57,C,Baja,24.333333333333332,24.33263580761915,33.29323,Media móvil,24.333333333333332,-32.66666666666667
2022-05-01,19973360,29,C,Baja,35.0,37.970975705137555,50.187477,Media móvil,35.0,6.0
