fecha,producto_id,demanda,categoria_abc,variabilidad,usar_ml,prediccion_xgboost,prediccion_baseline_3m,prediccion_final,metodo_usado,error_final
2023-10-01,1010,20.0,B,Alta,True,51.022873,0.0,51.02287292480469,XGBoost,31.022872924804688
2023-11-01,1010,0.0,B,Alta,True,0.034883313,6.666666666666667,0.03488331288099289,XGBoost,0.03488331288099289
2023-12-01,1010,30.0,B,Alta,True,47.07919,6.666666666666667,47.07918930053711,XGBoost,17.07918930053711
2023-10-01,1011,0.0,C,Alta,True,1.2842247,0.0,1.2842247486114502,XGBoost,1.2842247486114502
2023-11-01,1011,0.0,C,Alta,True,1.2842247,0.0,1.2842247486114502,XGBoost,1.2842247486114502
2023-12-01,1011,13.0,C,Alta,True,20.973639,0.0,20.9736385345459,XGBoost,7.973638534545898
2023-10-01,1012,34.0,A,Media,True,26.736814,6.333333333333333,26.736814498901367,XGBoost,-7.263185501098633
2023-11-01,1012,21.0,A,Media,True,33.773075,17.666666666666668,33.773075103759766,XGBoost,12.773075103759766
2023-12-01,1012,13.0,A,Media,True,48.540855,24.666666666666668,48.540855407714844,XGBoost,35.540855407714844
2023-10-01,1013,66.0,A,Alta,True,36.090084,14.0,36.090084075927734,XGBoost,-29.909915924072266
2023-11-01,1013,0.0,A,Alta,True,0.13355446,36.0,0.13355445861816406,XGBoost,0.13355445861816406
2023-12-01,1013,0.0,A,Alta,True,0.0,27.333333333333332,0.0,XGBoost,0.0
2023-10-01,1014,0.0,A,Alta,True,0.0,27.0,0.0,XGBoost,0.0
2023-11-01,1014,26.0,A,Alta,True,38.437576,24.666666666666668,38.43757629394531,XGBoost,12.437576293945312
2023-12-01,1014,53.0,A,Alta,True,25.893091,24.666666666666668,25.893091201782227,XGBoost,-27.106908798217773
2023-10-01,1015,23.0,A,Alta,True,18.247322,49.0,18.24732208251953,XGBoost,-4.752677917480469
2023-11-01,1015,1.0,A,Alta,True,23.801476,53.666666666666664,23.801475524902344,XGBoost,22.801475524902344
2023-12-01,1015,0.0,A,Alta,True,0.0,37.0,0.0,XGBoost,0.0
2023-10-01,1016,11.0,A,Alta,True,24.944256,7.666666666666667,24.944255828857422,XGBoost,13.944255828857422
2023-11-01,1016,50.0,A,Alta,True,35.239067,11.333333333333334,35.23906707763672,XGBoost,-14.760932922363281
2023-12-01,1016,0.0,A,Alta,True,0.0,20.333333333333332,0.0,XGBoost,0.0
2023-10-01,1017,1.0,A,Media,True,23.91904,28.333333333333332,23.91904067993164,XGBoost,22.91904067993164
2023-11-01,1017,0.0,A,Media,True,0.013301932,14.666666666666666,0.013301932252943516,XGBoost,0.013301932252943516
2023-12-01,1017,33.0,A,Media,True,30.186901,0.3333333333333333,30.186901092529297,XGBoost,-2.813098907470703
2023-10-01,1018,0.0,C,Alta,True,0.0027907141,11.666666666666666,0.0027907141484320164,XGBoost,0.0027907141484320164
2023-11-01,1018,0.0,C,Alta,True,0.0017657919,11.666666666666666,0.0017657919088378549,XGBoost,0.0017657919088378549
2023-12-01,1018,0.0,C,Alta,True,0.005027073,8.333333333333334,0.005027072969824076,XGBoost,0.005027072969824076
2023-10-01,1019,79.0,A,Media,True,34.38841,44.0,34.38840866088867,XGBoost,-44.61159133911133
2023-11-01,1019,33.0,A,Media,True,32.46948,61.666666666666664,32.469478607177734,XGBoost,-0.5305213928222656
2023-12-01,1019,36.0,A,Media,True,20.365044,66.66666666666667,20.36504364013672,XGBoost,-15.634956359863281
2023-10-01,1020,0.0,B,Alta,True,0.0,25.0,0.0,XGBoost,0.0
2023-11-01,1020,0.0,B,Alta,True,0.0,25.0,0.0,XGBoost,0.0
2023-12-01,1020,45.0,B,Alta,True,27.42317,25.0,27.42317008972168,XGBoost,-17.57682991027832
2023-10-01,1021,0.0,A,Alta,True,0.11269835,20.666666666666668,0.11269834637641907,XGBoost,0.11269834637641907
2023-11-01,1021,46.0,A,Alta,True,29.464167,6.333333333333333,29.46416664123535,XGBoost,-16.53583335876465
2023-12-01,1021,0.0,A,Alta,True,0.31961614,15.333333333333334,0.3196161389350891,XGBoost,0.3196161389350891
2023-10-01,1022,0.0,C,Alta,True,0.0,7.0,0.0,XGBoost,0.0
2023-11-01,1022,29.0,C,Alta,True,18.147474,7.0,18.14747428894043,XGBoost,-10.85252571105957
2023-12-01,1022,10.0,C,Alta,True,26.237028,9.666666666666666,26.237028121948242,XGBoost,16.237028121948242
2023-10-01,1023,42.0,A,Alta,True,25.254185,43.0,25.25418472290039,XGBoost,-16.74581527709961
2023-11-01,1023,0.0,A,Alta,True,0.0,55.0,0.0,XGBoost,0.0
2023-12-01,1023,47.0,A,Alta,True,24.97278,27.333333333333332,24.972780227661133,XGBoost,-22.027219772338867
2023-10-01,1024,0.0,A,Media,True,0.29749775,24.0,0.2974977493286133,XGBoost,0.2974977493286133
2023-11-01,1024,43.0,A,Media,True,56.728493,24.0,56.728492736816406,XGBoost,13.728492736816406
2023-12-01,1024,22.0,A,Media,True,77.92848,14.333333333333334,77.92848205566406,XGBoost,55.92848205566406
2023-10-01,1025,44.0,A,Alta,True,30.3395,34.333333333333336,30.339500427246094,XGBoost,-13.660499572753906
2023-11-01,1025,0.0,A,Alta,True,0.3320383,23.333333333333332,0.3320383131504059,XGBoost,0.3320383131504059
2023-12-01,1025,39.0,A,Alta,True,30.7349,23.333333333333332,30.734899520874023,XGBoost,-8.265100479125977
2023-10-01,1026,45.0,B,Alta,True,34.23195,8.333333333333334,34.23194885253906,XGBoost,-10.768051147460938
2023-11-01,1026,36.0,B,Alta,True,32.582912,23.333333333333332,32.58291244506836,XGBoost,-3.4170875549316406
2023-12-01,1026,0.0,B,Alta,True,0.0,27.0,0.0,XGBoost,0.0
2023-10-01,1027,0.0,A,Alta,True,0.0,28.0,0.0,XGBoost,0.0
2023-11-01,1027,0.0,A,Alta,True,0.0,15.666666666666666,0.0,XGBoost,0.0
2023-12-01,1027,0.0,A,Alta,True,0.0,0.0,0.0,XGBoost,0.0
2023-10-01,1028,0.0,A,Alta,True,0.0014728095,50.666666666666664,0.001472809468396008,XGBoost,0.001472809468396008
2023-11-01,1028,67.0,A,Alta,True,14.801937,50.666666666666664,14.801937103271484,XGBoost,-52.198062896728516
2023-12-01,1028,0.0,A,Alta,True,0.0,22.333333333333332,0.0,XGBoost,0.0
2023-10-01,1029,16.0,A,Media,True,14.776317,25.666666666666668,14.77631664276123,XGBoost,-1.2236833572387695
2023-11-01,1029,0.0,A,Media,True,0.0,20.666666666666668,0.0,XGBoost,0.0
2023-12-01,1029,21.0,A,Media,True,16.953335,5.333333333333333,16.95333480834961,XGBoost,-4.046665191650391
2023-10-01,1030,0.0,A,Alta,True,0.0,30.666666666666668,0.0,XGBoost,0.0
2023-11-01,1030,63.0,A,Alta,True,28.732927,11.333333333333334,28.732927322387695,XGBoost,-34.267072677612305
2023-12-01,1030,0.0,A,Alta,True,0.077178456,21.0,0.077178455889225,XGBoost,0.077178455889225
2023-10-01,1031,0.0,C,Alta,True,0.87705326,0.0,0.8770532608032227,XGBoost,0.8770532608032227
2023-11-01,1031,0.0,C,Alta,True,0.87705326,0.0,0.8770532608032227,XGBoost,0.8770532608032227
2023-12-01,1031,22.0,C,Alta,True,14.263849,0.0,14.263849258422852,XGBoost,-7.736150741577148
2023-10-01,1032,28.0,A,Alta,True,36.81432,9.333333333333334,36.8143196105957,XGBoost,8.814319610595703
2023-11-01,1032,26.0,A,Alta,True,28.68179,18.666666666666668,28.68178939819336,XGBoost,2.6817893981933594
2023-12-01,1032,11.0,A,Alta,True,22.626198,18.0,22.626197814941406,XGBoost,11.626197814941406
2023-10-01,1033,61.0,A,Media,True,24.281382,32.0,24.281381607055664,XGBoost,-36.718618392944336
